"","year","division","arrest_count"
"985",2015,"D14",3
"986",2020,"D22",1
"987",2022,"D32",10
"988",2022,"D55",2
"989",2021,"NSA",26
"990",2017,"D42",3
"991",2018,"D55",1
"992",2017,"D55",3
"993",2015,"D55",2
"994",2019,"D42",1
"995",2019,"D55",8
"996",2022,"D43",4
"997",2018,"D42",2
"998",2014,"D55",1
"999",2015,"D14",3
"1000",2017,"D32",1
"1001",2021,"D14",2
"1002",2020,"D13",4
"1003",2018,"D52",1
"1004",2018,"D11",1
"1005",2014,"D43",17
"1006",2016,"D11",16
"1007",2021,"D31",2
"1008",2018,"D14",4
"1009",2022,"D51",2
"1010",2022,"D43",2
"1011",2016,"D12",2
"1012",2018,"D32",1
"1013",2019,"D13",1
"1014",2018,"D12",1
"1015",2022,"D41",1
"1016",2019,"D12",3
"1017",2017,"D53",1
"1018",2022,"D55",1
"1019",2015,"D41",1
"1020",2016,"D12",1
"1021",2018,"D32",1
"1022",2015,"D22",1
"1023",2019,"D55",4
"1024",2014,"D52",37
"1025",2018,"D43",6
"1026",2021,"D12",1
"1027",2021,"D42",2
"1028",2016,"D43",1
"1029",2016,"D55",1
"1030",2017,"D32",7
"1031",2018,"D53",1
"1032",2019,"D51",1
"1033",2016,"D52",1
"1034",2020,"D32",1
"1035",2019,"D23",1
"1036",2018,"D12",1
"1037",2017,"D51",19
"1038",2015,"D14",1
"1039",2022,"D11",1
"1040",2016,"D32",5
"1041",2015,"D53",2
"1042",2017,"D41",1
"1043",2022,"D52",6
"1044",2018,"D41",1
"1045",2018,"D41",2
"1046",2019,"D22",1
"1047",2015,"D53",1
"1048",2014,"D12",3
"1049",2022,"D31",1
"1050",2019,"D13",4
"1051",2018,"D12",5
"1052",2014,"D31",1
"1053",2019,"D52",5
"1054",2014,"D53",2
"1055",2018,"D42",1
"1056",2017,"D32",2
"1057",2016,"D13",1
"1058",2015,"D43",38
"1059",2022,"D13",1
"1060",2014,"D14",1
"1061",2021,"D41",4
"1062",2018,"D33",1
"1063",2017,"D41",14
"1064",2017,"D12",5
"1065",2022,"D14",1
"1066",2019,"D53",10
"1067",2017,"D32",2
"1068",2018,"D14",3
"1069",2022,"D43",1
"1070",2014,"D41",5
"1071",2018,"D12",2
"1072",2018,"D41",11
"1073",2014,"D41",11
"1074",2022,"D53",1
"1075",2021,"D12",4
"1076",2016,"D13",1
"1077",2015,"D51",1
"1078",2020,"D11",10
"1079",2019,"D43",2
"1080",2014,"D32",1
"1081",2016,"D55",10
"1082",2018,"D33",5
"1083",2017,"D31",6
"1084",2015,"D53",1
"1085",2022,"D43",1
"1086",2017,"D33",2
"1087",2016,"D55",1
"1088",2020,"D23",1
"1089",2016,"D51",1
"1090",2014,"D52",1
"1091",2015,"D55",1
"1092",2015,"D11",1
"1093",2018,"D41",3
"1094",2017,"D13",1
"1095",2018,"D42",1
"1096",2014,"D53",1
"1097",2020,"D53",1
"1098",2014,"D22",2
"1099",2018,"D31",1
"1100",2016,"D41",1
"1101",2020,"D41",1
"1102",2017,"D22",2
"1103",2019,"D13",1
"1104",2014,"D53",2
"1105",2015,"D31",20
"1106",2020,"D53",3
"1107",2019,"D53",10
"1108",2015,"D52",1
"1109",2022,"D42",3
"1110",2016,"D43",14
"1111",2020,"D52",2
"1112",2020,"D22",1
"1113",2017,"D52",2
"1114",2020,"D32",8
"1115",2016,"D12",7
"1116",2017,"D13",1
"1117",2019,"D55",1
"1118",2017,"D43",1
"1119",2018,"D43",15
"1120",2020,"D14",2
"1121",2016,"D12",2
"1122",2017,"D22",2
"1123",2016,"D11",2
"1124",2019,"D51",1
"1125",2014,"D55",1
"1126",2017,"D22",2
"1127",2016,"D13",2
"1128",2015,"D32",18
"1129",2015,"D55",2
"1130",2021,"D41",2
"1131",2022,"D32",1
"1132",2017,"D23",4
"1133",2017,"D51",1
"1134",2015,"D22",1
"1135",2019,"D32",1
"1136",2016,"D55",1
"1137",2021,"D52",27
"1138",2015,"D23",1
"1139",2015,"D52",1
"1140",2019,"D51",3
"1141",2014,"D12",1
"1142",2018,"D42",1
"1143",2021,"D12",1
"1144",2020,"D13",1
"1145",2018,"D32",1
"1146",2021,"D42",4
"1147",2014,"D12",1
